样本编号,样本类别,label
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
1,深灰色泥岩,7
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
4,灰色细砂岩,4
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
6,浅灰色细砂岩,5
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
12,深灰色粉砂质泥岩,6
